Day_of_the_year,nb_day,nb_day_pyth,Day_of_the_year_bis,nb_day_bis,nb_day_pyth
24-10,297,296,23-10,297,296
25-10,298,297,24-10,298,297
26-10,299,298,25-10,299,298
27-10,300,299,26-10,300,299
28-10,301,300,27-10,301,300
29-10,302,301,28-10,302,301
30-10,303,302,29-10,303,302
31-10,304,303,30-10,304,303
01-11,305,304,31-10,305,304
02-11,306,305,01-11,306,305
03-11,307,306,02-11,307,306
04-11,308,307,03-11,308,307
05-11,309,308,04-11,309,308
06-11,310,309,05-11,310,309
07-11,311,310,06-11,311,310
08-11,312,311,07-11,312,311
09-11,313,312,08-11,313,312
10-11,314,313,09-11,314,313
11-11,315,314,10-11,315,314
12-11,316,315,11-11,316,315
13-11,317,316,12-11,317,316
14-11,318,317,13-11,318,317
15-11,319,318,14-11,319,318
16-11,320,319,15-11,320,319
17-11,321,320,16-11,321,320
18-11,322,321,17-11,322,321
19-11,323,322,18-11,323,322
20-11,324,323,19-11,324,323
21-11,325,324,20-11,325,324
22-11,326,325,21-11,326,325
23-11,327,326,22-11,327,326
24-11,328,327,23-11,328,327
25-11,329,328,24-11,329,328
26-11,330,329,25-11,330,329
27-11,331,330,26-11,331,330
28-11,332,331,27-11,332,331
29-11,333,332,28-11,333,332
30-11,334,333,29-11,334,333
01-12,335,334,30-11,335,334
02-12,336,335,01-12,336,335
03-12,337,336,02-12,337,336
04-12,338,337,03-12,338,337
05-12,339,338,04-12,339,338
06-12,340,339,05-12,340,339
07-12,341,340,06-12,341,340
08-12,342,341,07-12,342,341
09-12,343,342,08-12,343,342
10-12,344,343,09-12,344,343
11-12,345,344,10-12,345,344
12-12,346,345,11-12,346,345
13-12,347,346,12-12,347,346
14-12,348,347,13-12,348,347
15-12,349,348,14-12,349,348
16-12,350,349,15-12,350,349
17-12,351,350,16-12,351,350
18-12,352,351,17-12,352,351
19-12,353,352,18-12,353,352
20-12,354,353,19-12,354,353
21-12,355,354,20-12,355,354
22-12,356,355,21-12,356,355
23-12,357,356,22-12,357,356
24-12,358,357,23-12,358,357
25-12,359,358,24-12,359,358
26-12,360,359,25-12,360,359
27-12,361,360,26-12,361,360
28-12,362,361,27-12,362,361
29-12,363,362,28-12,363,362
30-12,364,363,29-12,364,363
31-12,365,364,30-12,365,364
NA,366,365,31-12,366,365
