Day_of_the_year;nb_day;nb_day_pyth;Day_of_the_year_bis;nb_day_bis;nb_day_pyth_1
12-nov;316;315;11-nov;316;315
13-nov;317;316;12-nov;317;316
14-nov;318;317;13-nov;318;317
15-nov;319;318;14-nov;319;318
16-nov;320;319;15-nov;320;319
17-nov;321;320;16-nov;321;320
18-nov;322;321;17-nov;322;321
19-nov;323;322;18-nov;323;322
20-nov;324;323;19-nov;324;323
21-nov;325;324;20-nov;325;324
22-nov;326;325;21-nov;326;325
23-nov;327;326;22-nov;327;326
24-nov;328;327;23-nov;328;327
25-nov;329;328;24-nov;329;328
26-nov;330;329;25-nov;330;329
27-nov;331;330;26-nov;331;330
28-nov;332;331;27-nov;332;331
29-nov;333;332;28-nov;333;332
30-nov;334;333;29-nov;334;333
01-déc;335;334;30-nov;335;334
02-déc;336;335;01-déc;336;335
03-déc;337;336;02-déc;337;336
04-déc;338;337;03-déc;338;337
05-déc;339;338;04-déc;339;338
06-déc;340;339;05-déc;340;339
07-déc;341;340;06-déc;341;340
08-déc;342;341;07-déc;342;341
09-déc;343;342;08-déc;343;342
10-déc;344;343;09-déc;344;343
11-déc;345;344;10-déc;345;344
12-déc;346;345;11-déc;346;345
13-déc;347;346;12-déc;347;346
14-déc;348;347;13-déc;348;347
15-déc;349;348;14-déc;349;348
16-déc;350;349;15-déc;350;349
17-déc;351;350;16-déc;351;350
18-déc;352;351;17-déc;352;351
19-déc;353;352;18-déc;353;352
20-déc;354;353;19-déc;354;353
21-déc;355;354;20-déc;355;354
22-déc;356;355;21-déc;356;355
23-déc;357;356;22-déc;357;356
24-déc;358;357;23-déc;358;357
25-déc;359;358;24-déc;359;358
26-déc;360;359;25-déc;360;359
27-déc;361;360;26-déc;361;360
28-déc;362;361;27-déc;362;361
29-déc;363;362;28-déc;363;362
30-déc;364;363;29-déc;364;363
31-déc;365;364;30-déc;365;364
NA;366;365;31-déc;366;365
